# English Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
a	list,new,sentence,given,great
incorrect	or,and,information,because,input
incorrectly	matched,to,identified,identifies,used
increase	in,the,customer,their,your
increased	efficiency,risk,access,productivity,energy
increases	the,in,as,with,and
increasing	the,number,in,their,levels
increasingly	popular,important,being,complex,difficult
incredible	and,amount,selection,journey,sight
incredibly	easy,low,powerful,important,difficult
increment	of,the,i,its,primary
incremental	cost,development,process,and,solutions
incrementally	according,modify,increase,fill
incremented	by
increments	of,which
incubate	eggs,and,ideas
incubated	with,for,at,in,by
incubation	period,with
incumbent	upon,on,president
incumbents	from,including
incur	additional,a,the,debt,an
incurred	by,in,for,as,during
incurring	debt,high,substantial
indebted	to
indecisive	and
indeed	the,it,a,be,have
indefinite	period,article,detention,amount,integrals
indefinitely	and
indemnify	and,the
indentation	is,of,after,clear,decorations
indented	under,once,since
independence	and,of,from,is,in
independent	and,schools,of,variables,variable
independently	and,of,or,from,owned
indescribable	feeling,sense
indestructible	and,particles
index	of,and,to,is,by
indexed	by,for,in,and,to
indexes	and,to,are,for,of
indexing	and,of,operator,can,web
india	is,and,has,are,in
india's	independence,spiritual,economy,gdp,water
indian	women,and,in,government,sex
indiana	and,schools,iowa,missouri,michigan
indianapolis	schools,in
indians	and,of,in,are,to
indicate	the,that,a,which,whether
indicated	that,by,in,on,otherwise
indicates	that,the,a,how,whether
indicating	that,the,a,whether,an
indication	of,that,for,to
indications	for,of,that,are
indicative	of,only,to,optative,sentence
indicator	of,is,that,for,to
indicators	of,and,for,that,are
indices	of,and,are,for,while
indicted	for,in,on
indictment	of
indie	rock,films,music,film
indifference	to,of
indifferent	to,towards
indigenous	peoples,people,and,communities,to
indigestible	material
indignant	and
indigo	and,violet,lit,sky,purple
indira	gandhi
indirect	costs,effects,cost,or,object
indirectly	by,through,from,to,in
indispensable	to,for,part,tool,in
indistinguishable	from
individual	or,and,needs,who,to
individual's	needs,health,life,physical,right
individualism	and,is,in,when,diversity
individualistic	and,cultures,iconoclastic,society,behaviors
individuality	and
individualize	instruction
individualized	instruction,attention,and,nature,product
individually	or,and,to,owned,designed
individuals	and,to,who,with,are
indochina	between,begins
indonesia	and,is,to,brazil,united
indonesian	government,influences,cultures,food,jungle
indoor	and,air,pool,or,swimming
indoors	and,or,is,in,on
indra	nooyi
induce	a,the,an,motion,better
induced	by,to,in,apoptosis,a
induces	a,the
inducted	into
induction	of,and,hypothesis,on,in
inductive	reasoning,inference,and,step
indulge	in,your
indulged	in,himself
indulgent	snack,behavior,treat,treats
indulging	in,themselves
indus	river,and
industrial	revolution,and,production,machinery,processes
industrialised	countries
industrialism	in
industrialization	movement,decreased,on,has,can
industrialized	countries,nations,age,towns
industries	and,in,such,of,that
industrious	spirit,and
industry	and,is,in,has,by
industry's	typical,approach,response
indymedia	faq
ineffective	in,and,assistance,communication,league
inefficiencies	in,and,unfavorable,of,areas
inefficiency	and,in
inefficient	and,use,processes,allocation,light
ineligible	for,to
inequalities	in,and,war,that,around
inequality	and,in,is,of,as
inequities	that,in,insufficient
inequity	in,and
inert	gas,of,form
inertia	is,and,of,which,the
inertial	frames,frame,force,reference
inevitability	of,to
inevitable	that,and,part,change,death
inevitably	be,lead,have,erupts,some
inexcusable	and,for
inexhaustible	supply,and
inexpensive	and,way,to,at,compared
inexpensively	and,access
inexperienced	and,in,hikers
inexplicable	beauty,dread,nature,thrill
inextricably	linked
infallible	free,and
infamous	plessy,voldemort,ivory,jango,villain
infancy	and,but,in
infant	mortality,and,in,death,formula
infantino	launched,the,is,delivered
infants	and,with,in,are
infect	other,files,over,their
infected	with,person,and,by,cells
infection	and,in,is,of,or
infections	and,in,are,of,by
infectious	diseases,disease,agents,laugh,mononucleosis
infector	viruses
infer	the,that,what,a,future
inferable	behavior
inference	is,that,of,about,time
inferences	about,from,and
inferential	statistics
inferior	to,and,education
inferno	of,lighting
inferred	from,that
infertility	crisis,treatment,and
infestation	would,of,is
infestations	and,which
infested	with
infiltrate	the,and,a
infiltrated	nearly,every,a
infiltration	of
infinite	number,loop,and,possibilities,but
infinitely	many,more,powerful,propel,into
infinitive	form
infinity	war,stones,display,to,saga
inflammation	and,in,of,or,stiffness
inflammatory	and,drugs,bowel,response,disease
inflatable	playground,water
inflate	a,the,it
inflated	and,sense,dramatically,grades,prices
inflation	and,rate,is,in,of
inflict	harm,a
inflicted	on,by,upon
infliction	of
inflow	of
influence	on,the,of,and,in
influenced	by,the,life,much,both
influencer	marketing,partnerships,collaborations,campaigns,outreach
influencers	and,to,can,in,or
influences	on,the,and,from,of
influencing	the,how,public,people's,many
influential	in,and,people,scientists,figures
influenza	virus,vaccine,include,and,measles
influx	of,is
info	on,about,and,for,from
infobank	home
infographic	to,design,summarizing,that,about
infographics	and,videos,polls,that,webinars
infor	you
inform	the,you,your,and,them
informal	and,sector,discussion,meetings,letters
informatics	and,at,is,applies
information	and,about,from,in,to
informational	purposes,errors,only,and,videos
informations	about,sur
informative	and,article,articles,site,content
informed	decisions,and,about,decision,of
informing	the,them,you,him,customers
informs	the,us,users,readers,consumers
infotainment	system,display,screen
infraction	of,misconduct
infraorder	cetacea
infrared	light,and,radiation,range,frequencies
infrastructure	and,for,to,is,in
infrastructures	and,can't,are,for
infringe	on,upon,the
infringement	of,is,and,by,on
infringing	on
infront	of
infused	with
infusion	of,pump
ing	the,to,a,and,of
ingenious	innovation,jubilant,idea,plan
ingenuity	and,of
ingested	seek,by
ingesting	any,data
ingestion	of,and,inhalation,mechanical,for
ingrained	in,part
ingredient	in,for,of,is,by
ingredients	and,for,to,in,that
inhabit	the,it,when,and,mountain
inhabitant	of,had
inhabitants	of,and,are,were,helping
inhabited	by,it,the
inhabits	cold,the,bodies
inhalation	of,fire,where,contact
inhale	the,as
inhaled	as,deeply
inhaling	slowly,deeply,very
inherent	in,to,interest,features,right
inherently	trustworthy,dangerous,hardworking,right,unethical
inherit	the,from,heritable,behavior,methods
inheritance	and,of,tax,diagram,in
inherited	from,a,by,the,members
inherits	from,a
inhibit	the,economic,photosynthesis
inhibited	by,the,real
inhibiting	the,factors
inhibition	of,by
inhibitor	of,is,binds,can
inhibitors	of,and,reduce
inhibitory	effect
inhibits	the,access
inhospitable	to,environment
inhuman	or
inhumane	conditions,treatment,act,for,as
init	script
initial	conditions,value,values,public,investment
initialise	largest,a
initialization	of,scheme,statement,and,expression
initialize	the,a,two,sum,result
initialized	to,with,in,counter
initializes	the,k,a
initializing	the,an
initially	the,be,in,to,and
initials	of,on,as,r
initiate	the,a,an,and,open
initiated	by,in,a,the,and
initiates	the,a
initiating	a,the,cell,and
initiation	of,and,factor
initiative	to,and,in,is,for
initiatives	and,to,in,that,such
inject	malicious,malware,code,some
injected	into,with,object
injecting	drug,molten,a,the
injection	of,molding,and,site,drug
injections	of
injective	surjective,and
injunction	against,to
injunctive	relief
injure	a,and
injured	in,and,or,by,when
injuries	and,or,in,to,are
injurious	to
injury	and,or,to,prevention,lawyer
injustice	and,of,in,leading,associated
injustices	faced,present,protect,she,in
ink	and,for,cartridge,cartridges,jet
inkjet	cartridges,cartridge,printers,printer
inks	and
inky	black,night
inlaid	flowery,decorations
inland	bodies,taipan,it,and
inlet	and
inline	frames,void,int,skating,skates
inlog	in
inmate	red,and
inmates	in,rather,reintegrate,form
inn	and,at,by,is,of
innate	desire,potential,sadness,human,capacity
inner	peace,workings,ear,and,city
innermost	thoughts,layer,feelings
inning	umpire,stretch,to
innings	of,and
innisfree	by
innocence	and,of,the,wonder,shines
innocent	people,and,civilians,man,of
innocentia	imperium
innovate	and,for,create,the,with
innovating	and,the,classic
innovation	and,in,is,that,to
innovations	in,and,that,such,of
innovative	solutions,and,ways,technology,ideas
innovativeness	was,were
innovator	in
innovators	in,and
inns	and,in,of,inn
innumerable	opportunities,obstacles,tribulations
inoculated	with
inorganic	compounds,compound,or
inpatient	and,care
input	and,data,type,to,sentence
inputs	and,to,from,for,of
inputted	into,is,amount,incorrectly,data
inputting	the,data,various,features,letters
inquire	about,into,information
inquired	about
inquiries	and,or,to,about,regarding
inquiring	about,leads,as
inquiry	into,and,to,or,is
inquisitive	and,young,tenacious,person,observant
inroads	into
ins	and,for,are,to,with
insatiable	curiosity,appetite
inscribed	on,in,with,a
inscription	on,carved,with,at,cloudcom
insect	repellent,and,pests,fish,populations
insecticide	in,on,making
insecticides	and,we
insects	and,are,birds,small,to
insecure	interaction,networks
insecurities	when,start
insecurity	and,in,as,about,resource
insensitive	to
inseparable	from,and,since,enjoying,spreading
insert	a,the,your,an,into
inserted	into,in,the,by,at
inserting	the,a,in,after,elements
insertion	of,and,into,point,sort
insertions	in
inserts	the,a,and
insest	gay,stories
insex	bondage
inside	the,and,of,a,this
insider	information,trading,could
insidious	presence,despair
insight	into,on,and,from,to
insightful	and,analysis,advice,learned,sagacious
insights	into,from,and,on,that
insignificant	the,but,until
insist	on,that,upon
insisted	that,on,upon
insistence	on,that
insisting	that,on
insists	that,on,he
insofar	as
insomnia	and,increased,or,depression,headaches
inspect	the,and,variables,machines,parts
inspected	for,and,by,the
inspecting	the,a,products,whatever
inspection	of,and,by,report,at
inspections	of,and,to,are,in
inspector	of,general,thomas
inspectors	and,in,to,said,identified
inspiration	and,for,to,from,in
inspirational	posters,talk,resilient,example,capturing
inspire	and,the,you,me,a
inspired	by,and,the,to,me
inspires	their,people,you,awe
inspiring	and,others,people,generations,story
inspiron	and
instability	and,in,of,was,insecurity
instagram	and,post,to,facebook,is
install	a,the,and,or,it
installation	and,of,is,process,instructions
installations	and,in,of,are,can
installed	on,in,the,and,by
installer	for,to,was,from,and
installing	a,the,and,an,new
installment	in,of
installments	of
installs	the,a
instalment	of
instance	of,the,in,for,is
instances	of,where,in,the,when
instant	messaging,access,online,messenger,and
instantaneous	sharing,communication,global,exchange
instantaneously	and,access,aware,connect,through
instantiation	of,to
instantly	with,and,at,on,to
instead	of,the,they,it,he
instigated	by,unprecedented
instill	a,discipline,positive,our,mistrust
instilling	in,a
instills	in,knowledge
instinct	alone,and,when,may,than
instinctive	behavior,pathways
instinctively	territorial,followed
instincts	and,in,can,which,while
institut	de,fur,fuer
institute	of,for,in,and,a
instituted	a,by,in
institutes	of,and,in,for,which
instituting	an,lockdowns,switch,carbon
institution	of,and,that,or,in
institutional	and,investors,arrangements,framework,capacity
institutions	and,in,of,to,are
instituto	de
instruct	the,users
instructed	to,the,by,in,all
instructing	is,the
instruction	and,in,for,to,that
instructional	materials,design,strategies,program,and
instructions	for,to,on,and,that
instructive	to
instructor	in,of,and,or,will
instructors	and,are,in,to,who
instructs	the
instrument	is,that,and,of,with
instrumental	in,music,foretelling,figure,of
instrumentality	of
instrumentation	and,is,includes
instruments	and,for,of,are,such
insufficient	to,funds,evidence,for,information
insulate	your,the,homes,all
insulated	from,walls,fur,chambers,to
insulating	windows,homes,walls,home,barrier
insulation	and,in,to,is,used
insulators	while,or,are
insulin	resistance,and,dependent,secretion,sensitivity
insult	to,using,an
insulting	language
insults	me,or,a
insurance	and,for,companies,is,in
insure	that,the,a,your,safety
insured	by,and,or,for,person
insurer	or,to,and
insurers	and,to,in,employers,would
insures	that
insurgents	in,and
insuring	that
insurmountable	odds,obstacles,as,for,edge
int	i,main,n,x,j
intact	and,when
intake	of,and,is,in,manifold
intakes	of
intangible	assets,benefits,and,concepts,ideas
integer	and,value,values,of,is
integers	and,from,find,is,in
integral	part,to,of,role,component
integrals	and,that
integrate	with,the,into,and,a
integrated	into,with,circuit,circuits,and
integrates	with,the,a,ai,both
integrating	the,a,and,into,technology
integration	with,of,and,in,for
integrations	and,with,would
integrative	medicine,psychotherapy,health,and
integrators	and
integrity	and,of,is,in,to
intel	and,is,has,to,chips
intellect	and,teen,matched,she,by
intellectual	property,and,capital,development,ability
intellectually	stimulating,challenged,and,stimulated,engaging
intellectuals	and
intelligence	is,and,in,that,can
intelligences	such,are
intelligent	and,life,design,machines,people
intelligently	and,manage,while
intend	to,on,it
intended	to,for,recipient,purpose,as
intending	to,kind
intends	to,the
intense	and,competition,extreme,storms,heat
intensely	powerful,all,flavorful,devoted,and
intensification	of
intensified	other,orthogonal
intensifies	as,it
intensify	the
intensities	of,with
intensity	of,and,in,is,at
intensive	care,and,training,applications,industries
intent	to,of,and,on,is
intention	of,to,and,is,was
intentional	or,harm,with,practice,abandonment
intentionally	left,or,focus,focusing,presenting
intentions	and,of,to,are,for
intently	and,observing,the,to,desperately
intents	and,output
inter	alia
interacial	sex
interact	with,and,in,to,more
interacted	with
interacting	with,protein,components,in,and
interaction	between,with,of,and,in
interactionism	and,is,focuses
interactions	with,between,in,of,and
interactive	and,map,learning,features,elements
interactivity	to,and,resulting,of,the
interacts	with
interbank	transfer
intercept	and,of,encrypted,value
intercepted	by,it,and,in
interception	of
interchange	of,hosting
interchangeable	lenses,lens,settings
interchangeably	there,but
interconnected	nodes,neurons,and,layers,network
interconnectedness	of,and,between,among,languages
interconnection	of,between
intercourse	with
intercultural	comparison,understanding
interdependence	of,and,refers,the
interdependency	of,between,and
interdependent	and,network,molecules,as,meaning
interdisciplinary	research,approach,field,teams,branch
interdum	pulvinar,ut
interesdting	stuff
interest	in,rate,rates,and,on
interested	in,parties,and,to,please
interesting	facts,and,way,thing,to
interestingly	enough
interests	and,in,of,are,to
interface	for,and,with,should,to
interfaces	and,for,are,to,with
interfacing	with
interfere	with,in,excessively
interfered	with
interference	from,and,with,of,in
interferes	with
interfering	with
intergalactic	mission,journey,voyage,gas,phone
intergovernmental	panel,organization
interim	report,government,period,financial
interior	and,of,design,designer,is
interiors	and,from
interlibrary	loan
interlock	conditions
interlocking	basalt,pieces
interlocutor	is,with
intermediaries	reducing,it,to
intermediary	between,such,like,service,page
