# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
প্রকল্পগুলির	জন্য,মাধ্যমে,শেষ,পরিবেশগত,বাস্তবায়নের
প্রকল্পগুলো	দেখাশোনা,পরিত্যক্ত
প্রকল্পটি	শেষ,সম্পূর্ণ,শুরু,একটি,সালে
প্রকল্পটিকে	এগিয়ে,ট্র্যাকে,সমর্থন,ছোট,কম
প্রকল্পটিতে	একটি,মহিলাদের
প্রকল্পটির	জন্য,লক্ষ্য,মধ্যে,প্রবক্তা,বাণিজ্যিকীকরণের
প্রকল্পনা	বা,অনুযায়ী
প্রকল্পসমূহের	বাস্তবায়নে,বৃহত্তম,অন্যান্য,একটি
প্রকল্পে	কাজ,একসঙ্গে,বিনিয়োগ,যোগ,প্রতিশ্রুতিবদ্ধ
প্রকল্পের	জন্য,সাথে,অগ্রগতি,একটি,মাধ্যমে
প্রকাণ্ড	জটিল,ও,দ্বীপের
প্রকার	রয়েছে,এবং,যা,মেঘের,যোগাযোগ
প্রকারকে	শ্রেণীবদ্ধ,সম্মান,শ্রেণিবদ্ধ
প্রকারগুলি	হল,কী,ব্যবহার,সাধারণত,নির্দিষ্ট
প্রকারগুলিকে	অন্তর্ভুক্ত,সংজ্ঞায়িত
প্রকারণ	হিসেবে,করোনাভাইরাস
প্রকারণটি	দ্বারা,যাতে
প্রকারণের	পরিবর্তে,উদ্ভব
প্রকারভেদ	করুন,কর,ব্যাখ্যা,ও,শনাক্ত
প্রকারে	শ্রেণীবদ্ধ,বিভক্ত,ভাগ,সম্পন্ন,প্রকারভেদ
প্রকারের	মধ্যে,সাথে,উপর,জন্য,তালিকা
প্রকারেরই	প্রভাব,তাদের
প্রকাশ	করে,করা,করতে,করার,করেন
প্রকাশক	এবং,ধ্বনি,বা,ডন,কর্তৃক
প্রকাশককে	শুধুমাত্র,বিনা
প্রকাশকদের	কাছ,দ্বারা
প্রকাশকে	সমাজের,ঘিরে,নতুন,ধরে,নিরুৎসাহিত
প্রকাশকের	নাম,তথ্য,দ্বারা,এই,শংসাপত্র
প্রকাশন	সংস্থা
প্রকাশনা	এবং,বা,সংস্থা,সম্পন্ন,পদ্ধতি
প্রকাশনাকে	অন্তর্ভুক্ত,নির্দেশিত,গবেষণায়
প্রকাশনাগুলি	পড়ে,স্ক্যান
প্রকাশনাগুলোর	সাথে,উচিত
প্রকাশনার	তারিখ,মাধ্যমে,বছর,জন্য,ক্ষেত্রে
প্রকাশনায়	যোগ,কপিরাইট,কাজ,নথিভুক্ত,গ্রহণ
প্রকাশনী	একাধিক,অপেক্ষাকৃত,প্রেস,হিসেবে,সংস্থার
প্রকাশনীর	বাণিজ্যিক
প্রকাশনের	জন্য,গুরুভার,উদ্ধৃতি
প্রকাশিত	হয়,হয়েছিল,হয়েছে,একটি,হওয়ার
প্রকাশে	সরাসরি,প্রতারণা,রাজি,বা,উদগ্রীব
প্রকাশের	জন্য,তারিখ,সাথে,আগে,পর
প্রকাশ্য	জাতিগত,বিক্ষোভের,বর্ণবাদী,নিষেধাজ্ঞা,রাজনৈতিক
প্রকাশ্যে	কথা,সমকামী,ক্ষমা,যৌন,ব্যক্ত
প্রকৃত	নাম,খরচ,ফলাফলের,তথ্যভিত্তিক,আউটপুটের
প্রকৃতপক্ষে	একটি,একজন,বিশ্বের,বাস্তব,কয়েক
প্রকৃতি	এবং,সম্পর্কে,অন্বেষণ,তার,সত্ত্বেও
প্রকৃতিও	এমন,পরিবর্তিত
প্রকৃতিকে	বোঝাতে,আরও,তার,সংহত,আরাম
প্রকৃতিগত	বিষয়,প্রবণতা
প্রকৃতিগতভাবে	পিয়ার,আছে
প্রকৃতিতে	সময়,হাঁটতে,পাওয়া,উপভোগ,আরও
প্রকৃতিবিজ্ঞান	অধ্যায়ন,বিষয়ে
প্রকৃতিবিদ	এবং
প্রকৃতির	সৌন্দর্য,সাথে,উপর,কারণে,একটি
প্রকৃষ্ট	উদাহরণ
প্রকোপ	বৃদ্ধি,সংখ্যা,কমতে,লক্ষ্য,সবচেয়ে
প্রকোপিত	হত্তয়া
প্রকোষ্ঠ	বিশিষ্ট,থাকে,চলে
প্রকোষ্ঠযুক্ত	হৃৎপিণ্ড,হৃদয়
প্রকোষ্ঠে	বাতাস,আছে,মঙ্গলের,রাখা
প্রকৌশল	এবং,ও,বা,বিভাগের,হল
প্রকৌশলকে	আলাদা,প্রায়ই,তাদের,আরো
প্রকৌশলগত	নীতি,ভৌগোলিক
প্রকৌশলবিদ্যা	ছাড়া,যুগের,ডিভাইস
প্রকৌশলবিদ্যার	গভীর,উদ্দেশ্য,বিপরীত,শিক্ষার্থীরা,চেয়ে
প্রকৌশলী	এবং,হিসাবে,ছিলেন,করুন,যিনি
প্রকৌশলীকে	অবশ্যই,অনেক,তুলে,প্রকৃত,পেশাদারিত্বের
প্রকৌশলীগণ	ব্যাপক,কোন,যে,কাপ্তাই,চীনের
প্রকৌশলীদের	জন্য,দ্বারা,প্রচেষ্টায়,মধ্যে,কাজের
প্রকৌশলীদেরকে	দেখা,পাওয়া
প্রকৌশলীর	নিম্নলিখিত,জন্য,প্রয়োজনীয়,প্রয়োজন,একটি
প্রকৌশলীরা	সাধারণত,একটি,নতুন,পরিবেশ,প্রক্রিয়া
প্রকৌশলীয়	পদ্ধতি,সমাধান
প্রকৌশলে	নারীদের,স্নাতক,ব্যাপকভাবে,নতুন,বিএ
প্রকৌশলের	একটি,প্রয়োজনীয়তা,মতো,বিভিন্ন,এই
প্রক্রিয়া	যা,এবং,করার,করে,যার
প্রক্রিয়াই	কোষের,ডেটা,তার,এনালগ,হলো
প্রক্রিয়াও	অন্তর্ভুক্ত
প্রক্রিয়াকরণ	এবং,ব্যবহার,শক্তি,ক্ষমতা,কৌশল
প্রক্রিয়াকরণকে	আরও,অনেক,শেষ,বর্ণনা
প্রক্রিয়াকরণে	ব্যবহৃত,এবং,আপনাকে,অগ্রগতি,সময়
প্রক্রিয়াকরণের	জন্য,মতো,সময়,ক্ষেত্রে,কাজে
প্রক্রিয়াকরন	ইউনিট,এবং
প্রক্রিয়াকারী	কেন্দ্র,ব্যবস্থার,ব্যবস্থায়
প্রক্রিয়াকৃত	ডেটাতে,ডেটা,এর,ছবিগুলিকে,ভ্রমণ
প্রক্রিয়াকে	বোঝায়,ত্বরান্বিত,সহজ,স্ট্রিমলাইন,উন্নত
প্রক্রিয়াকেও	উন্নত,ত্বরান্বিত
